complaint,department
"Phase missing in our house only half lights working please fix fuse opposite junction roundabout, please take action immediately.",Electricity
"In Vidya Nagar Ward 176, open drain in front of our gate school children can fall inside since two weeks. Very difficult situation.",Drainage
"In Defence Enclave Ward 118, no water coming in taps since last 4 days kindly supply tanker since morning. Very difficult situation.",Water
"Between ramakrishna puram and clock tower square, transformer giving big blast sound and sparks falling down. Kindly resolve.",Electricity
"Sir, dirty open drain next to school children getting sick frequently close to bus stop. Nobody is responding.",Public Health
spid braker iron rod exposd dangerous for bikes near district library Link Road,Roads
"Sir, yellow blinker light not working at accident prone cross road near Siddhartha Nagar main gate. Nobody is responding.",Traffic
"Sir, electric wire is hanging very low anyone can get current shock near pedestrian subway. Nobody is responding.",Electricity
"Underpass is flooded with dirty water cars getting stuck in water after last rain on Main Road, Ward 190. High danger.",Drainage
Kindly note that there is a broken streetlight glass luminaire hanging precariously by thin wire at Ward 148. This is heavy fixture ready to drop on passing traffic. Kindly take remedial action.,Electricity
Overloaded distribution transformer smoking and buzzing loudly opposite flyover landing.,Electricity
Extremely hazardous condition: loose gravel scattered all over the newly laid asphalt near post office! It is two-wheelers skidding frequently on brakes. Immediate action requested.,Roads
Very serious hazard: dead pigeons decomposing inside public building central ventilation shafts between Surya Nagar Ward 12 and Gandhi Circle! It is foul stench and bird flu biohazard circulating through AC. Immediate action requested.,Public Health
"Complaining for the third time, drainage desilting sludge left piled on roadside instead of being removed at the entry of Rajaji Sector 3, drying sewage sludge washing back into drain with next rain. Please send team as soon as possible.",Drainage
Attention Municipal Commissioner: damaged speed governor warning sign lying flat on road shoulder at Ward 73! It is lack of signage encouraging overspeeding near hospital gate. Immediate action requested.,Traffic
"In surya nagar ward 12, sanitation auto not coming to our street trash piled up in homes. Kindly resolve.",Sanitation
Drinking water is coming dirty and smelling like drainage for past one week in Teachers Colony. High danger.,Water
"Due to road trench backfilled only with loose mud which has now sunken in Vidya Nagar, it is causing car wheels to get stuck.",Roads
"Sir, traffic police needed at circle during school hours heavy jam between Kasturba Extension and Market Four Roads. Nobody is responding.",Traffic
Road has caved in middle of road heavy vehicles getting stuck in Vinayaka Nagar after last rain.,Roads
"Due to drinking water supply line air-locked preventing water flow to households behind Railway Staff Colony, it is no water coming out of taps despite supply hours.",Water
Hospital medical waste incinerator emitting thick black soot without filter right in front of Maternity Clinic.,Public Health
"Street light is not working in our lane full dark at night along 4th Cross, 2nd Main every evening.",Electricity
"In balaji layout, no dustbin provided in our market area people throwing waste on street. Kindly resolve.",Sanitation
guter overflowin ful stenk in residental aera near fire station Station Road,Drainage
"Opposite petrol pump, chemical smoke and bad smell coming from factory at night cannot breathe. Kindly resolve.",Public Health
stry dogs bitng peple agreshive paks kindly cach in Indira Gandhi Colony ward 104,Public Health
plz help no zebr crosing pedstrians strugling to cros on Market Road,Traffic
"In Sri Krishna Layout Ward 194, big dry tree branch can fall on our house roof please cut it urgently every evening. Very difficult situation.",Municipal Services
Civic issue reported: there is a drinking water contaminated with sewage smell and black particles opposite police station. This is several residents suffering from stomach infections. Kindly take remedial action.,Water
"Hello civic team, stagnant rainwater collected in discarded scrap tires outside repair shop between Shastri Nagar and Highway Junction, proven high-density breeding site for Aedes dengue mosquitoes. Please send team as soon as possible.",Public Health
People throwing garbage bags on vacant plot creating mini dumpyard after last rain on Station Approach Road. High danger.,Sanitation
"Phase missing in our house only half lights working please fix fuse close to bridge underpass, please take action immediately.",Electricity
plz help pipelin brok clean watr wasting on road fix fast on Hospital Road,Water
"In Santosh Nagar Ward 92, voltage is very low fan is not running fridge making weird sound since yesterday. Very difficult situation.",Electricity
Water tanker driver demanding extra money and not giving full water close to town hall every evening.,Water
Water supply timing is very irregular please give water on fixed schedule since yesterday on Service Lane. High danger.,Water
Colony borewell motor spoiled please send mechanic urgently from last 3 days at the entry of Indira Gandhi Colony. High danger.,Water
"Missing reflective cat-eyes and lane divider markings on unlit bypass road along Inner Circular Road, drivers struggling to judge lane boundaries in fog and dark.",Traffic
Waterlogging on subway underpass reaching 4 feet depth due to pump failure close to milk booth.,Drainage
"In Balaji Layout Ward 162, electric wire is hanging very low anyone can get current shock after last rain. Very difficult situation.",Electricity
Rusted municipal water pipe leaking chlorinated water into foundations at Collectorate Circle.,Water
"In Vikas Enclave Ward 66, sanitation auto not coming to our street trash piled up in homes since past 10 days. Very difficult situation.",Sanitation
